mssv,dien_tt,diem_tt,lop12_matinh,khuvuc,xl_tt
7E308531XPvAibaEXe879+AOg1gh8i58Q/VMq7RU,THPT,24.5,53.0,0.0,2.0
0FCB6532XPvAibaEXe879+AOg1gh8o0EEQcYQ8HR,THPT,27.5,16.0,0.0,3.0
BAF446BFXPvAibaEXe879+AOg1gh8uQrEauqA0AG,THPT,25.0,42.0,0.0,3.0
599DFFB8XPvAibaEXe879+AOg1gh8lJvChSN7o+V,THPT,28.0,51.0,0.0,4.0
364B9E9BXPvAibaEXe879+AOg1gh8sRVdBmZSiXe,THPT,24.5,52.0,0.0,2.0
BBAD4F2BXPvAibaEXe879+AOg1gh8vGaQYZ3wJAR,THPT,29.5,2.0,1.0,4.0
88C15831XPvAibaEXe879+AOg1gh8uMWWp9sXQnJ,THPT,26.5,2.0,1.0,3.0
FC77E598XPvAibaEXe879+AOg1gh8pb/q8KzJ2A3,THPT,34.0,33.0,0.0,4.0
9E9A38AEXPvAibaEXe879+AOg1gh8jBg5Ccj9ksF,THPT,23.5,54.0,0.0,2.0
140E6C4CXPvAibaEXe/asAVnWDRS7Te/6FHN3JZ9,THPT,26.0,36.0,0.0,3.0
A6EA9F79XPvAibaEXe/asAVnWDRS7dXIHpGvggPH,THPT,23.0,57.0,0.0,2.0
F9AD085CXPvAibaEXe/asAVnWDRS7ejs/e1rGnUq,THPT,26.5,46.0,0.0,3.0
B1460568XPvAibaEXe/asAVnWDRS7f+aMPJ9kBjL,THPT,25.5,45.0,0.0,3.0
E210AA8EXPvAibaEXe/asAVnWDRS7eUZUTEqhAQl,THPT,27.5,3.0,0.0,3.0
32CA7383XPvAibaEXe/asAVnWDRS7W3J9+TvE5ZI,THPT,25.0,48.0,0.0,3.0
85A1EF64XPvAibaEXe/asAVnWDRS7aDwG/eutYGP,THPT,32.5,2.0,1.0,4.0
E68386BCXPvAibaEXe/asAVnWDRS7bT1MwA0tQQ/,THPT,26.5,48.0,0.0,3.0
786BE3EBXPvAibaEXe/asAVnWDRS7UAj1YtnlMWY,THPT,24.5,54.0,0.0,2.0
F585674DXPvAibaEXe93PEySAJOVk6T3mUZtHkOx,THPT,31.0,55.0,0.0,4.0
9095EEE4XPvAibaEXe93PEySAJOVk2kOrJQCpxlr,THPT,26.5,48.0,0.0,3.0
246BFB8AXPvAibaEXe93PEySAJOVk7f1TlF/mfrO,THPT,25.0,2.0,1.0,3.0
9593C5A1XPvAibaEXe93PEySAJOVkwyGf+OwqHPe,THPT,26.5,47.0,0.0,3.0
B652E11DXPvAibaEXe93PEySAJOVkyJM7AttkNBy,THPT,27.0,42.0,0.0,3.0
D563BE5EXPvAibaEXe93PEySAJOVk29BEIkXUhF+,THPT,27.5,47.0,0.0,3.0
98247E19XPvAibaEXe93PEySAJOVkxsz+HIviyYJ,THPT,25.0,55.0,0.0,3.0
FF601AFCXPvAibaEXe93PEySAJOVk+OR7t0UZryF,THPT,24.5,41.0,0.0,2.0
94D07C75XPvAibaEXe93PEySAJOVk2ldmZ8HMbbn,THPT,24.5,2.0,1.0,2.0
33472657XPvAibaEXe8ge2UHv4J4BwEOqNnp7N/7,THPT,31.5,2.0,1.0,4.0
04F89839XPvAibaEXe8ge2UHv4J4B7N8hGEpTcLN,THPT,26.5,41.0,0.0,3.0
4CD37F46XPvAibaEXe8ge2UHv4J4Byyo6uzLKM42,THPT,24.5,44.0,0.0,2.0
C1A9FD65XPvAibaEXe8ge2UHv4J4BztlfCscqMWw,THPT,24.0,29.0,0.0,2.0
5236793DXPvAibaEXe8ge2UHv4J4B3cK3m4MI0jB,THPT,30.0,35.0,0.0,4.0
7CAAEE6BXPvAibaEXe8ge2UHv4J4B+kFXfDUb6ad,THPT,30.5,37.0,0.0,4.0
97CE096EXPvAibaEXe8ge2UHv4J4B99T3E9bmk5q,THPT,24.5,2.0,1.0,2.0
1CE4CDB2XPvAibaEXe8ge2UHv4J4ByS1Gt3OtWsA,THPT,26.5,2.0,1.0,3.0
24DC3D8AXPvAibaEXe8ge2UHv4J4B18QuY8RUYi8,THPT,28.5,33.0,0.0,4.0
6E479E37XPvAibaEXe+1P/4gNbgreS61mE4eZb4e,THPT,27.0,44.0,0.0,3.0
FEB67E7CXPvAibaEXe+1P/4gNbgreX5kOa5/zSG4,THPT,24.5,43.0,0.0,2.0
13D944E0XPvAibaEXe+1P/4gNbgreZHDR7oX7edx,THPT,25.0,2.0,1.0,3.0
B2BC792FXPvAibaEXe+1P/4gNbgrefoTGueuT4Wa,THPT,28.5,28.0,0.0,4.0
EE98DE11XPvAibaEXe+1P/4gNbgrecMcGsUFy/kO,THPT,25.0,47.0,0.0,3.0
182EDDDCXPvAibaEXe+1P/4gNbgredAYJhLzP30B,THPT,24.5,2.0,1.0,2.0
F5705943XPvAibaEXe+1P/4gNbgreYZ1sK9mulny,THPT,28.5,37.0,0.0,4.0
1662E3E1XPvAibaEXe+1P/4gNbgreUA+MXxSOODq,THPT,27.5,2.0,1.0,3.0
1D5EC289XPvAibaEXe+1P/4gNbgreeJ2VIlZrW72,THPT,24.0,42.0,0.0,2.0
FE176735XPvAibaEXe+1P/4gNbgreQ94npTP4/sD,THPT,27.0,2.0,1.0,3.0
