matinh,tinh,tinh.1,khuvuc,khuvuc_1,khuvuc_2,khuvuc_3,khuvuc_4,khuvuc_5,khuvuc_6,khuvuc_7
1.0,Hà Nội,hà nội,2,0,1,0,0,0,0,0
2.0,Hồ Chí Minh,hồ chí minh,6,0,0,0,0,0,1,0
3.0,Hải Phòng,hải phòng,2,0,1,0,0,0,0,0
4.0,Đà Nẵng,đà nẵng,4,0,0,0,1,0,0,0
5.0,Hà Giang,hà giang,1,1,0,0,0,0,0,0
6.0,Cao Bằng,cao bằng,1,1,0,0,0,0,0,0
7.0,Lai Châu,lai châu,1,1,0,0,0,0,0,0
8.0,Lào Cai,lào cai,1,1,0,0,0,0,0,0
9.0,Tuyên Quang,tuyên quang,1,1,0,0,0,0,0,0
10.0,Lạng Sơn,lạng sơn,1,1,0,0,0,0,0,0
11.0,Bắc Cạn,bắc cạn,1,1,0,0,0,0,0,0
12.0,Thái Nguyên,thái nguyên,1,1,0,0,0,0,0,0
13.0,Yên Bái,yên bái,1,1,0,0,0,0,0,0
14.0,Sơn La,sơn la,1,1,0,0,0,0,0,0
15.0,Phú Thọ,phú thọ,1,1,0,0,0,0,0,0
16.0,Vĩnh Phúc,vĩnh phúc,2,0,1,0,0,0,0,0
17.0,Quảng Ninh,quảng ninh,1,1,0,0,0,0,0,0
18.0,Bắc Giang,bắc giang,1,1,0,0,0,0,0,0
19.0,Bắc Ninh,bắc ninh,2,0,1,0,0,0,0,0
21.0,Hải Dương,hải dương,2,0,1,0,0,0,0,0
22.0,Hưng Yên,hưng yên,2,0,1,0,0,0,0,0
23.0,Hòa Bình,hòa bình,1,1,0,0,0,0,0,0
24.0,Hà Nam,hà nam,2,0,1,0,0,0,0,0
25.0,Nam Định,nam định,2,0,1,0,0,0,0,0
26.0,Thái Bình,thái bình,2,0,1,0,0,0,0,0
27.0,Ninh Bình,ninh bình,2,0,1,0,0,0,0,0
28.0,Thanh Hóa,thanh hóa,3,0,0,1,0,0,0,0
29.0,Nghệ An,nghệ an,3,0,0,1,0,0,0,0
30.0,Hà Tĩnh,hà tĩnh,3,0,0,1,0,0,0,0
31.0,Quảng Bình,quảng bình,3,0,0,1,0,0,0,0
32.0,Quảng trị,quảng trị,3,0,0,1,0,0,0,0
33.0,Thừa Thiên Huế,thừa thiên huế,3,0,0,1,0,0,0,0
34.0,Quảng Nam,quảng nam,3,0,0,1,0,0,0,0
35.0,Quảng Ngãi,quảng ngãi,3,0,0,1,0,0,0,0
36.0,Kontum,kontum,4,0,0,0,1,0,0,0
37.0,Bình Định,bình định,3,0,0,1,0,0,0,0
38.0,Gia Lai,gia lai,4,0,0,0,1,0,0,0
39.0,Phú Yên,phú yên,3,0,0,1,0,0,0,0
40.0,Đắk Lắk,đắk lắk,4,0,0,0,1,0,0,0
41.0,Khánh Hòa,khánh hòa,3,0,0,1,0,0,0,0
42.0,Lâm Đồng,lâm đồng,4,0,0,0,1,0,0,0
43.0,Bình Phước,bình phước,6,0,0,0,0,0,1,0
44.0,Bình Dương,bình dương,6,0,0,0,0,0,1,0
45.0,Ninh Thuận,ninh thuận,3,0,0,1,0,0,0,0
46.0,Tây Ninh,tây ninh,6,0,0,0,0,0,1,0
47.0,Bình Thuận,bình thuận,4,0,0,0,1,0,0,0
48.0,Đồng Nai,đồng nai,6,0,0,0,0,0,1,0
49.0,Long An,long an,7,0,0,0,0,0,0,1
50.0,Đồng Tháp,đồng tháp,7,0,0,0,0,0,0,1
51.0,An Giang,an giang,7,0,0,0,0,0,0,1
52.0,Bà Rịa – Vũng Tàu,bà rịa – vũng tàu,6,0,0,0,0,0,1,0
53.0,Tiền Giang,tiền giang,7,0,0,0,0,0,0,1
54.0,Kiên Giang,kiên giang,7,0,0,0,0,0,0,1
55.0,Cần Thơ,cần thơ,7,0,0,0,0,0,0,1
56.0,Bến Tre,bến tre,7,0,0,0,0,0,0,1
57.0,Vĩnh Long,vĩnh long,7,0,0,0,0,0,0,1
58.0,Trà Vinh,trà vinh,7,0,0,0,0,0,0,1
59.0,Sóc Trăng,sóc trăng,7,0,0,0,0,0,0,1
60.0,Bạc Liêu,bạc liêu,7,0,0,0,0,0,0,1
61.0,Cà Mau,cà mau,7,0,0,0,0,0,0,1
62.0,Điện Biên,điện biên,1,1,0,0,0,0,0,0
63.0,Đắk Nông,đắk nông,5,0,0,0,0,1,0,0
64.0,Hậu Giang,hậu giang,7,0,0,0,0,0,0,1
